comparison,instance_sha256,instance,users,agents,visits,seed,left_method,right_method,left_status,right_status,both_optimum,left_similarity,right_similarity,delta_similarity,left_continuity,right_continuity,delta_continuity,left_overtime,right_overtime,delta_overtime
weighted-to-continuity-first,017118e5960c7e18a239e77b1f198b44915ed895aea6f231bb872df91f90f0f2,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1003_critical.txt,40,10,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,701.0,648.0,-53.0,10.0,1.0,-9.0,15.0,0.0,-15.0
weighted-to-continuity-first,03e563fb6290ae5b10f29c4bd69e140d46f5db64516b7ab5dad7e2186df2197b,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1001_critical.txt,40,25,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,611.0,575.0,-36.0,4.0,0.0,-4.0,12.0,0.0,-12.0
weighted-to-continuity-first,08c9dd197d381bb1f7911fb0a8737b245d2c574183b871f4ce8688d8a15bcd12,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1003_critical.txt,40,15,5,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,712.0,657.0,-55.0,10.0,0.0,-10.0,10.0,0.0,-10.0
weighted-to-continuity-first,0a4cc1c9eac79eca9e0861f05de893ae18e2c331afdb25b03c6efb933da1d71a,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v4_seed1001_critical.txt,30,10,4,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,439.0,410.0,-29.0,0.0,0.0,0.0,12.0,0.0,-12.0
weighted-to-continuity-first,0fa28a903cebd3a3dd85fef2874db9c94ef28e79ab436d5e05b1ed674d0dc046,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1001_critical.txt,40,10,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,735.0,700.0,-35.0,2.0,0.0,-2.0,13.0,0.0,-13.0
weighted-to-continuity-first,1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,30,25,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,429.0,416.0,-13.0,5.0,0.0,-5.0,2.0,0.0,-2.0
weighted-to-continuity-first,13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,30,25,5,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,563.0,503.0,-60.0,9.0,2.0,-7.0,14.0,0.0,-14.0
weighted-to-continuity-first,148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,30,15,4,1002,weighted,lex-cos,OPTIMUM,OPTIMUM,True,436.0,410.0,-26.0,4.0,1.0,-3.0,7.0,0.0,-7.0
weighted-to-continuity-first,1a2fbafb2974a05729c7a458b27e009b17a67dbbf649967446361307f7e124a3,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1003_critical.txt,30,15,4,1003,weighted,lex-cos,OPTIMUM,OPTIMUM,True,423.0,415.0,-8.0,4.0,0.0,-4.0,0.0,0.0,0.0
weighted-to-continuity-first,22ee92263371ecea73d08de26b04d5edec6fc04579a52160b302a4510f99ac1e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1001_critical.txt,30,20,5,1001,weighted,lex-cos,OPTIMUM,OPTIMUM,True,572.0,539.0,-33.0,0.0,0.0,0.0,15.0,0.0,-15.0
