instance_sha256,instance,method,gurobi_status,cplex_status,status_agreement,both_optimum,objective_agreement,comparison_fields,gurobi_objective,cplex_objective
13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('150', '540')","('150', '540')"
13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '503', '2', '0')","('150', '503', '2', '0')"
13d35da4af1d246d1dc9e9e69e18e81522824e99442b070094b3ee6de84cff54,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '503', '2', '0')","('150', '503', '2', '0')"
148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('120', '425')","('120', '425')"
148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '410', '1', '0')","('120', '410', '1', '0')"
148c8679adee389f3bfb69e52584b46bc596198bb5146008050adc703b39182e,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '410', '1', '0')","('120', '410', '1', '0')"
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('160', '568')","('160', '568')"
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '521', '2', '0')","('160', '521', '2', '0')"
23421d631ba25e8a6e9fc662d65c83fe6fccb717088483d568dab2b286aa89db,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '521', '2', '0')","('160', '521', '2', '0')"
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('120', '427')","('120', '427')"
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '411', '0', '0')","('120', '411', '0', '0')"
34bd64e4677b21f310faa4406545db874dca6ae220c9a65e8a35f01abe1b0955,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('120', '411', '0', '0')","('120', '411', '0', '0')"
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('200', '701')","('200', '701')"
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '668', '4', '0')","('200', '668', '4', '0')"
559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '668', '4', '0')","('200', '668', '4', '0')"
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('160', '576')","('160', '576')"
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '549', '1', '0')","('160', '549', '1', '0')"
5c9a8a3dcc3d1fe985ff86f0f6765ea477a79927e1fcb4a8a0be3ecb89ce8cfe,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '549', '1', '0')","('160', '549', '1', '0')"
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('150', '532')","('150', '532')"
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '490', '2', '1')","('150', '490', '2', '1')"
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '498', '3', '0')","('150', '498', '3', '0')"
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('150', '524')","('150', '524')"
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '491', '3', '0')","('150', '491', '3', '0')"
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '491', '3', '0')","('150', '491', '3', '0')"
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('200', '726')","('200', '726')"
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '673', '1', '0')","('200', '673', '1', '0')"
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('200', '673', '1', '0')","('200', '673', '1', '0')"
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('150', '531')","('150', '531')"
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '491', '2', '0')","('150', '491', '2', '0')"
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('150', '491', '2', '0')","('150', '491', '2', '0')"
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('160', '567')","('160', '567')"
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '529', '1', '0')","('160', '529', '1', '0')"
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '529', '1', '0')","('160', '529', '1', '0')"
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,weighted,OPTIMUM,OPTIMUM,True,True,True,coverage|weighted_reference_score,"('160', '558')","('160', '558')"
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,lex-cos,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '523', '3', '0')","('160', '523', '3', '0')"
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,lex-overtime,OPTIMUM,OPTIMUM,True,True,True,coverage|similarity|continuity|overtime,"('160', '523', '3', '0')","('160', '523', '3', '0')"
